experiment,param,mesh,grid_len,algo,hausdorff,chamfer,f1,faces,file
noise,noise0.005,eiffel,50,ours,0.440504,0.00551331,0.9885,149206,ours_50_10_shortArcs_noMES_PU_dc_noise0.005_reg0.obj
noise,noise0.005,eiffel,50,rfta,0.041063,0.0057488,0.8776,150294,rfta_50_noise0.005.obj
noise,noise0.005,fandisk,50,mc,0.022377,0.00247775,0.9997,16794,sample_points_50.obj
noise,noise0.005,fandisk,50,mes,0.023518,0.00359643,0.9991,50250,mes_50.obj
noise,noise0.005,fandisk,50,ours,0.513877,0.00428967,0.9968,256304,ours_50_10_shortArcs_noMES_PU_dc_noise0.005_reg0.obj
noise,noise0.005,fandisk,50,rfta,0.051524,0.00433226,0.9867,323408,rfta_50_noise0.005.obj
noise,noise0.005,horse,50,mc,0.022482,0.00246994,0.9994,9636,sample_points_50.obj
noise,noise0.005,horse,50,mes,0.038441,0.00435971,0.9962,28398,mes_50.obj
noise,noise0.005,horse,50,ours,0.397404,0.00296946,0.999,148666,ours_50_10_shortArcs_noMES_PU_dc_noise0.005_reg0.obj
noise,noise0.005,horse,50,rfta,0.039304,0.00515575,0.9883,146294,rfta_50_noise0.005.obj
noise,noise0.005,metratron,50,mc,0.020613,0.00317596,0.9997,22190,sample_points_50.obj
noise,noise0.005,metratron,50,mes,0.025021,0.00367495,0.9996,99086,mes_50.obj
noise,noise0.005,metratron,50,ours,0.021224,0.00348909,0.9997,355744,ours_50_10_shortArcs_noMES_PU_dc_noise0.005_reg0.obj
noise,noise0.005,metratron,50,rfta,0.055837,0.00327477,0.9975,421184,rfta_50_noise0.005.obj
noise,noise0.005,rossignol,50,mc,0.028332,0.00275382,0.9988,7928,sample_points_50.obj
noise,noise0.005,rossignol,50,mes,0.036556,0.00385097,0.9972,30044,mes_50.obj
noise,noise0.005,rossignol,50,ours,0.804373,0.07072701,0.8668,162972,ours_50_10_shortArcs_noMES_PU_dc_noise0.005_reg0.obj
noise,noise0.005,rossignol,50,rfta,0.038402,0.00511932,0.9783,127820,rfta_50_noise0.005.obj
noise,noise0.01,32770,50,mc,0.027622,0.00434145,0.9832,11664,sample_points_50.obj
noise,noise0.01,32770,50,mes,0.057681,0.01020189,0.7618,17530,mes_50.obj
noise,noise0.01,32770,50,ours,0.558324,0.06465575,0.7955,238662,ours_50_10_shortArcs_noMES_PU_dc_noise0.01_reg0.obj
noise,noise0.01,32770,50,rfta,0.241596,0.01340517,0.7804,80340,rfta_50_noise0.01.obj
noise,noise0.01,armadillo,50,mc,0.034027,0.00447764,0.9904,14288,sample_points_50.obj
noise,noise0.01,armadillo,50,mes,0.044207,0.00746928,0.9055,29218,mes_50.obj
